,side,market,wallet,shares,yes_no_index,pseudonym
119,NO,tyler-robinson-convicted-of-homicide,0x3825180182703613f3619d4611890c5b655504e8,347.99111,1,That-Macadamia
120,NO,tyler-robinson-convicted-of-homicide,0x7ac83882979ccb5665cea83cb269e558b55077cd,320.0,1,Improbable-Responsibility
121,NO,tyler-robinson-convicted-of-homicide,0xc24fa1e0fda1552c830022807abd855aadbe220b,310.237974,1,
122,NO,tyler-robinson-convicted-of-homicide,0x5b316b2bb1b3aefb0aa86270cf51b849b45cb2f0,246.0,1,Kind-Scimitar
123,NO,tyler-robinson-convicted-of-homicide,0x6b17d237e6b7f74ce8171d6dc68e07bc21c803b2,231.013129,1,Jumbo-Cupcake
124,NO,tyler-robinson-convicted-of-homicide,0xee82a022ed23e2e1877a828bd058eaacaf70f011,188.679244,1,Sociable-Supermarket
125,NO,tyler-robinson-convicted-of-homicide,0xfe726a6efb705a7e17f8200919b1f05a8a17f18c,184.62,1,Worthy-Lament
126,NO,tyler-robinson-convicted-of-homicide,0xcc502174d04098108ed1d06c03560533722097ef,181.81818,1,Velvety-Thrill
127,NO,tyler-robinson-convicted-of-homicide,0x40cfb29411d29f4fa0908f2a121297042cccd21d,142.276664,1,Exotic-Prize
128,NO,tyler-robinson-convicted-of-homicide,0xa66790e2b0075e73c3781ddaf1d0b875a3aaceb3,131.2,1,Arctic-Kickoff
129,NO,tyler-robinson-convicted-of-homicide,0xa3e22cd32aa9238ef7dbcfb4761e33b9eaa1fdf8,129.0,1,Direct-Chainstay
130,NO,tyler-robinson-convicted-of-homicide,0x86a642f6ee9888795c62a43ec9ca175927bc1ac6,115.0,1,Few-Tattler-Hashtag
131,NO,tyler-robinson-convicted-of-homicide,0xc97044fae49b20c6115defa88baee804e6420666,101.888886,1,Valid-Travel
132,NO,tyler-robinson-convicted-of-homicide,0xa42c71802f9fb7ba7922774c4784b6c744d55759,100.0,1,Curly-Screening
133,NO,tyler-robinson-convicted-of-homicide,0xb986084a183a218b59e97b2ddf1d3e2da9e04b60,100.0,1,Unhappy-Garage
134,NO,tyler-robinson-convicted-of-homicide,0xd6a39cef30c927c4d57b5cc519f3a2d0332a9738,99.993332,1,Creative-Ginger
135,NO,tyler-robinson-convicted-of-homicide,0x133a983218418809df1a1fcf71e984f1cb448397,96.48148,1,
136,NO,tyler-robinson-convicted-of-homicide,0x7a8fe7b6934c1b5cda555fbd5731a57e2683d9ee,96.417875,1,Unknown-Ischemia
137,NO,tyler-robinson-convicted-of-homicide,0x6fb868e4bc34c8be25d8b6dad58f395bdb0d48f6,75.0,1,Violet-Kohlrabi
138,NO,tyler-robinson-convicted-of-homicide,0x5e93348f5f69ed3c7ca7413128360f189f38f9bf,74.074073,1,Impartial-Fame
139,NO,tyler-robinson-convicted-of-homicide,0x7618fcaa5034fe22bee47600e049aab50155e714,71.64179,1,
140,NO,tyler-robinson-convicted-of-homicide,0x81443d65a6c42b87d8761915b4344966863e8472,67.28,1,
141,NO,tyler-robinson-convicted-of-homicide,0x755cb1f20588e2c30608c9cfe3d0d2b897e6ba9f,59.191915,1,Left-Lipoprotein
142,NO,tyler-robinson-convicted-of-homicide,0xe7e98d511e3b780fe692324288f50bf29fd5b434,56.60956,1,
