,side,market,wallet,shares,yes_no_index,pseudonym
26,YES,tyler-robinson-convicted-of-homicide,0x0f1c6db140e7b58c85115f2c48ce1c6fa47e3a66,208.0,0,Worse-Intervention
27,YES,tyler-robinson-convicted-of-homicide,0x2843d543c60a54106f572ab74f0e2e04f293b3d2,200.0,0,Sorrowful-Samovar
124,NO,tyler-robinson-convicted-of-homicide,0xee82a022ed23e2e1877a828bd058eaacaf70f011,189.0,1,Sociable-Supermarket
125,NO,tyler-robinson-convicted-of-homicide,0xfe726a6efb705a7e17f8200919b1f05a8a17f18c,185.0,1,Worthy-Lament
126,NO,tyler-robinson-convicted-of-homicide,0xcc502174d04098108ed1d06c03560533722097ef,182.0,1,Velvety-Thrill
28,YES,tyler-robinson-convicted-of-homicide,0xb8d8bc6acbe4b4596750b8ccd0f227eb7bd366a7,180.0,0,Proud-Buzzard
29,YES,tyler-robinson-convicted-of-homicide,0xa772ddd6bd310ce94a85a5d0ab78aeb74d47797a,173.0,0,Frail-Result
30,YES,tyler-robinson-convicted-of-homicide,0x7fa57a9732ae359a7adf13056e6990b52ab461ff,170.0,0,Impure-Woodshed-Suffocation
127,NO,tyler-robinson-convicted-of-homicide,0x40cfb29411d29f4fa0908f2a121297042cccd21d,142.0,1,Exotic-Prize
128,NO,tyler-robinson-convicted-of-homicide,0xa66790e2b0075e73c3781ddaf1d0b875a3aaceb3,131.0,1,Arctic-Kickoff
129,NO,tyler-robinson-convicted-of-homicide,0xa3e22cd32aa9238ef7dbcfb4761e33b9eaa1fdf8,129.0,1,Direct-Chainstay
31,YES,tyler-robinson-convicted-of-homicide,0xed19489cfbf7e0002147a2556e956d8ac909cb5e,128.0,0,Frivolous-Charm
32,YES,tyler-robinson-convicted-of-homicide,0xf665e699c46c2ba53d9857357abaf1481ffdb45e,123.0,0,Agitated-Mobile
33,YES,tyler-robinson-convicted-of-homicide,0x1e34fd6aa3b46e4f4d6b97a1491b726291adb86f,120.0,0,Powerless-Email
130,NO,tyler-robinson-convicted-of-homicide,0x86a642f6ee9888795c62a43ec9ca175927bc1ac6,115.0,1,Few-Tattler-Hashtag
34,YES,tyler-robinson-convicted-of-homicide,0x932074c73880b857fcce6eda97f0d25d5a2649c6,106.0,0,Low-Hamburger
35,YES,tyler-robinson-convicted-of-homicide,0x3d6c091b9b9b88c8aba5b0b460d75be9ba84cde7,106.0,0,Sleepy-Underneath
36,YES,tyler-robinson-convicted-of-homicide,0x28e25eec62456c2665f77ef62a6105677a0db877,104.0,0,Worn-Lieutenant-Adobe
131,NO,tyler-robinson-convicted-of-homicide,0xc97044fae49b20c6115defa88baee804e6420666,102.0,1,Valid-Travel
37,YES,tyler-robinson-convicted-of-homicide,0xc2ae0663bfc0793f9f6e0e78adb802a3c7d5fbf2,102.0,0,Sociable-Lemon
38,YES,tyler-robinson-convicted-of-homicide,0x1ceaabf230a848b4f41b721a2fef98bc597f181d,102.0,0,Intelligent-Precision
39,YES,tyler-robinson-convicted-of-homicide,0x6dc9cf1b33a75001fd74015f4ed93ca89c1db678,102.0,0,Instructive-Commodity
132,NO,tyler-robinson-convicted-of-homicide,0xa42c71802f9fb7ba7922774c4784b6c744d55759,100.0,1,Curly-Screening
133,NO,tyler-robinson-convicted-of-homicide,0xb986084a183a218b59e97b2ddf1d3e2da9e04b60,100.0,1,Unhappy-Garage
134,NO,tyler-robinson-convicted-of-homicide,0xd6a39cef30c927c4d57b5cc519f3a2d0332a9738,100.0,1,Creative-Ginger
40,YES,tyler-robinson-convicted-of-homicide,0x30de156a425f2775918851ef0b0b8f8a2e631f9d,100.0,0,Threadbare-Lunchroom
43,YES,tyler-robinson-convicted-of-homicide,0xf1b06b1c5f0ff9a675943d37be97c06ed2544d1e,100.0,0,Needy-Accountability
42,YES,tyler-robinson-convicted-of-homicide,0xe8a68017820cc850b4d13cfd8a165eb438b4644b,100.0,0,Precious-Physical
41,YES,tyler-robinson-convicted-of-homicide,0xdab5fee80ee03e560bb7acb693394a13a669250f,100.0,0,
44,YES,tyler-robinson-convicted-of-homicide,0x9d16a31d46fe2e9d6a86b986408ad5bf884afe0e,98.0,0,Feline-Doc
136,NO,tyler-robinson-convicted-of-homicide,0x7a8fe7b6934c1b5cda555fbd5731a57e2683d9ee,96.0,1,Unknown-Ischemia
135,NO,tyler-robinson-convicted-of-homicide,0x133a983218418809df1a1fcf71e984f1cb448397,96.0,1,
45,YES,tyler-robinson-convicted-of-homicide,0x96d7e95bd21340c17eb0a245c1ed4b8849d045bd,84.0,0,Incomplete-Jellyfish-Plane
