,side,market,wallet,shares,yes_no_index,pseudonym
259,YES,diddy-found-guilty-of-sex-trafficking,0x2cefa2a306abcebdd4450bdec46622fe8e070709,11.0,0,Helpful-Giggle
260,YES,diddy-found-guilty-of-sex-trafficking,0xfff0c3ed0f217ecdab9ec37516a4c19dc6e39db1,10.0,0,Fitting-Pine
261,YES,diddy-found-guilty-of-sex-trafficking,0x668f6be6f9d96d5e291b9a4f2a10f45c57214c4d,9.0,0,Determined-Wampum
262,YES,diddy-found-guilty-of-sex-trafficking,0x81f4733a9c28f54c1bab1e6c2f2fa02e02577f6a,8.0,0,Gleeful-Range
263,YES,diddy-found-guilty-of-sex-trafficking,0xcb4b3656a84b168eb39c8176a765ffa9a59a0b6f,8.0,0,Evergreen-Criminal
264,YES,diddy-found-guilty-of-sex-trafficking,0xf3a45fee236a87951ebc629f9af10fa799f9d6b6,8.0,0,Noted-Wind
265,YES,diddy-found-guilty-of-sex-trafficking,0x1c26530e91695fe0046fa00464e9b7ae3aa9ffff,8.0,0,Jaunty-Password
304,NO,diddy-found-guilty-of-sex-trafficking,0x73a884288403e0a2b3cc8c54209181d5ba18a515,8.0,1,Impassioned-Census
270,YES,diddy-found-guilty-of-sex-trafficking,0xe09c6f91cad9dd19bcb9c51da2c469d9aacb2c7b,7.0,0,Relieved-Periodical
272,YES,diddy-found-guilty-of-sex-trafficking,0x6fed64fcf2c75392cf95b777d310ae68d181a5e8,7.0,0,Charming-Iris
271,YES,diddy-found-guilty-of-sex-trafficking,0xee128111fb888297e3e8aecbeecbbcf0a0dffb2a,7.0,0,Hot-Leap
266,YES,diddy-found-guilty-of-sex-trafficking,0x1737656634ccddebfb674064f58ccafcd8ef277b,7.0,0,Exalted-Semantics
267,YES,diddy-found-guilty-of-sex-trafficking,0x1fd61f16ef4b8f0e70d6ef39f52619134a83b982,7.0,0,Expensive-Genre
268,YES,diddy-found-guilty-of-sex-trafficking,0x89a312daae0d8c2a83a8e78d8b4781add910a449,7.0,0,Pointless-Beard
